n,time
1524,5332
1525,5983
1526,5293
1527,5336
1528,5338
1529,5299
1530,5340
1531,5301
1532,5337
1533,5349
1534,5339
1535,5333
1536,5371
1537,5351
1538,5360
1539,5315
1540,5364
1541,5328
1542,5370
1543,5316
1544,5349
1545,5293
1546,5336
1547,5327
1548,5326
1549,5331
1550,5325
1551,5335
1552,5326
1553,5333
1554,5330
1555,5325
1556,5329
1557,5350
1558,5314
1559,5320
1560,5241
1561,5329
1562,5345
1563,5343
1564,5344
1565,5348
1566,5330
1567,5347
1568,5343
1569,5344
1570,5336
1571,5325
1572,5310
1573,5339
1574,5361
1575,5326
1576,5328
1577,5328
1578,5332
1579,5327
1580,5331
1581,5333
1582,5331
1583,5327
1584,5330
1585,5257
1586,5367
1587,5336
1588,5331
1589,5326
1590,5334
1591,5328
1592,5336
1593,5325
1594,5325
1595,5332
1596,5331
1597,5329
1598,5324
1599,5335
1600,5327
1601,5335
1602,5324
1603,5341
1604,5226
1605,5327
1606,5351
1607,5322
1608,5352
1609,5330
1610,5338
1611,5358
1612,5312
1613,5365
1614,5330
1615,5338
1616,5324
1617,5333
1618,5326
1619,5336
1620,5326
1621,5336
1622,5328
1623,5357
1624,5332
1625,5346
1626,5343
1627,5369
1628,5331
1629,5332
1630,5327
1631,5312
1632,5348
1633,5333
1634,5338
1635,5329
1636,5331
1637,5314
1638,5295
1639,5318
1640,5357
1641,5346
1642,5390
1643,5329
1644,5333
1645,5340
1646,5336
1647,5334
1648,5305
1649,5323
1650,5353
1651,5327
1652,5338
1653,5325
1654,5325
1655,5326
1656,5345
1657,5337
1658,5333
1659,5435
1660,5365
1661,5349
1662,5339
1663,5327
1664,5329
1665,5307
1666,5364
1667,5339
1668,5364
1669,5327
1670,5353
1671,5298
1672,5329
1673,5344
1674,5349
1675,5334
1676,5329
1677,5315
1678,5403
1679,5317
1680,5353
1681,5335
1682,5335
1683,5327
1684,5333
1685,5327
1686,5332
1687,5281
1688,5333
1689,5322
1690,5348
1691,5328
1692,5340
1693,5332
1694,5328
1695,5329
1696,5329
1697,5347
1698,5352
1699,5337
1700,5351
1701,5334
1702,5286
1703,5297
1704,5251
1705,5323
1706,5355
1707,5326
1708,5339
1709,5327
1710,5335
1711,5329
1712,5339
1713,5325
1714,5335
1715,5326
1716,5332
1717,5313
1718,5340
1719,5336
1720,5351
1721,5328
1722,5340
1723,5332
1724,5354
1725,5348
1726,5374
1727,5338
1728,5342
1729,5332
1730,5331
1731,5325
1732,5319
1733,5307
1734,5329
1735,5342
1736,5329
1737,5335
1738,5343
1739,5290
1740,5323
1741,5323
1742,5237
1743,5332
1744,5353
1745,5347
1746,5341
1747,5325
1748,5335
1749,5327
1750,5333
1751,5348
1752,5355
1753,5340
1754,5334
1755,5333
1756,5365
1757,5341
1758,5338
1759,5348
1760,5333
1761,5330
1762,5352
1763,5332
1764,5341
1765,5350
1766,5328
